,Measuring station,Ct,January,February,March,April,Mai,June,July,August,September,October,November,December,Year :
0,BRISSAGO S,TI,6000,7000,8000,10000,9000,10000,10000,10000,10000,9000,7000,6000,8000
1,STABIO,TI,17000,17000,17000,17000,17000,17000,17000,17000,18000,18000,17000,16000,17000
2,GRANCIA (AS),TI,61000,65000,68000,73000,74000,75000,81000,77000,79000,74000,67000,64000,71000
3,CHIASSO-BROGEDA (AS),TI,42000,45000,43000,46000,49000,53000,60000,56000,52000,47000,42000,44000,48000
4,MONTE CENERI (AS),TI,43000,46000,49000,57000,57000,59000,68000,54000,54000,54000,54000,54000,54000
5,BIASCA S (AS),TI,23000,25000,27000,33000,33000,36000,44000,45000,32000,32000,32000,25000,32000
6,MENDRISIO S (AS),TI,48000,51000,51000,55000,56000,52000,52000,52000,52000,52000,52000,52000,52000
7,MOLENO N (AB),TI,23000,25000,26000,33000,33000,36000,44000,44000,37000,33000,26000,26000,32000
8,CAMIGNOLO (AS),TI,47000,50000,54000,61000,60000,63000,71000,70000,66000,61000,52000,50000,59000
9,QUINTO (AS),TI,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000
10,MAGADINO,TI,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,9000,8000,8000
11,SOLDUNO N,TI,10000,11000,12000,12000,12000,13000,14000,14000,13000,12000,11000,10000,12000
12,CIRCONVALLAZIONE DI LUGANO,TI,50000,52000,54000,59000,60000,61000,67000,65000,64000,59000,52000,50000,58000
13,MENDRISIO N  (AS),TI,59000,62000,62000,62000,62000,62000,62000,62000,62000,62000,65000,61000,62000
14,QUARTINO,TI,22000,25000,27000,28000,27000,29000,29000,28000,28000,27000,25000,23000,27000
15,CAVIANO DOGANA DIRINELLA,TI,3000,4000,4000,5000,5000,5000,5000,4000,4000,4000,4000,4000,4000
16,OLIVONE - LUCOMAGNO,TI,1000,1000,1000,1000,1000,2000,3000,3000,2000,1000,1000,1000,1000
17,TENERO,TI,30000,32000,36000,37000,37000,38000,39000,37000,39000,37000,34000,31000,36000
18,INTRAGNA-CENTOVALLI,TI,2000,2000,2000,3000,3000,3000,3000,3000,3000,3000,2000,2000,2000
19,ASCONA GALLERIA,TI,9000,10000,11000,13000,13000,14000,13000,14000,13000,12000,10000,9000,12000
20,"FONTANA, VALLE BEDRETTO - TI0917",TI,451,400,322,320,440,1000,300,320,320,320,320,319,320
21,"LOCARNO, TUNNEL MAPPO MORETTINA",TI,21000,23000,26000,27000,27000,27000,28000,27000,28000,26000,24000,22000,26000
22,GALLERIA VEDEGGIO-CASSARATE,TI,22000,24000,25000,26000,26000,26000,24000,22000,27000,25000,24000,22000,25000
23,VEZIA W,TI,15000,17000,18000,17000,18000,18000,16000,14000,18000,17000,17000,16000,17000
